Phase,S.No.,Scope Item (as per Proposal),Status in CRM,How It Is Addressed in the CRM,Remarks / Notes
Phase 3: Patient Engagement Automation,16,"Create messaging journeys across patient stages (platform-compliant)",Partially Built,"WhatsApp Business API integration infrastructure exists. SMTP email integration is configured per tenant. Message templates and automated triggers are architected. Full end-to-end automated messaging journeys require WhatsApp template approval from Meta.",Infrastructure ready; depends on WhatsApp template approvals
Phase 3: Patient Engagement Automation,17,"Use WhatsApp, SMS, and email automation based on approved protocols",Partially Built,"WhatsApp Business API connector built. SMTP email configured per tenant with tenant-specific credentials. SMS integration architecture ready. Actual automated sends depend on approved message templates and API credentials being configured.",Connectors built; activation depends on credentials + template approvals
Phase 4: Campaign Framework & Lead Activation,18,"Selection of right tools for campaign management and integration",Fully Built,"Campaign Management module with standardized naming conventions (Prefix_Platform_Objective_Year_Month_Ad#). Platform Connectors for Meta Ads and Google. UTM parameter auto-generation.",Built-in campaign management tool
Phase 4: Campaign Framework & Lead Activation,19,"Develop campaign strategy structure",Fully Built,"Campaign module supports: funnel stage tagging (TOFU/MOFU/BOFU), target audience definition, platform selection, budget tracking, and channel classification. Campaign Channels master table for standardization.",Strategy structure built into the tool
Phase 4: Campaign Framework & Lead Activation,20,"Define tracking, attribution, and performance metrics by region/source",Fully Built,"UTM tracking on every lead. Lead Source and Lead Source Category masters. Campaign-level budget and performance tracking. Meta Ads API integration pulls campaign insights (impressions, clicks, spend, CPC, CTR).",Full attribution chain: Campaign > UTM > Lead > Episode > Revenue
Phase 4: Campaign Framework & Lead Activation,21,"Establish internal workflows for verified number broadcast and outreach",Partially Built,"WhatsApp Business API integration supports template-based messaging. Communication Preferences module tracks per-lead opt-in/opt-out for WhatsApp, SMS, Email, Phone. Consent capture on lead creation.",Broadcast workflows ready; depends on WhatsApp API activation
Phase 4: Campaign Framework & Lead Activation,22,"Recommend structure for automated review and testimonial collection",Not Built,"Review/testimonial collection automation is not yet implemented in the CRM. This was identified as a future enhancement.",Planned for future phase
Phase 4: Campaign Framework & Lead Activation,23,"Outline preventive practices to avoid Meta/Google ad policy violations",Consulting Deliverable,"This is a consulting/training deliverable. The CRM's campaign naming conventions and UTM structure support compliant tracking, but policy guidance is a consulting service.",Meta Help Guide page provides basic guidance
Phase 4: Campaign Framework & Lead Activation,24,"Suggest contingency plans for platform disruptions",Consulting Deliverable,"This is a consulting/strategy deliverable. The CRM supports multi-channel lead capture (Meta, Google, Walk-in, Referral, Events, Telephony) reducing single-platform dependency.",Multi-source architecture reduces platform risk
Phase 5: Webinar Engine & Education Funnel,25,"Define webinar strategy including formats, targeting, and scheduling",Consulting + Built,"Event Management module supports Webinar as an event type with scheduling, capacity management, and status tracking. Strategy definition is a consulting deliverable.",Event module handles webinar logistics
Phase 5: Webinar Engine & Education Funnel,26,"Set up workflows for webinar registration, reminders, and follow-up",Fully Built,"Event Management: registration tracking with attendance statuses (Registered > Confirmed > Attended > No-Show > Cancelled). Bulk attendance marking. Registration source tracking.",Full registration-to-attendance workflow built
Phase 5: Webinar Engine & Education Funnel,27,"Connect webinar attendees into the CRM funnel for nurturing and tracking",Fully Built,"Convert-to-Lead feature on Event Detail page: one-click conversion of event registrants into CRM leads. Duplicate phone detection links existing leads. Event source attribution preserved on lead record.",Seamless attendee-to-lead conversion
Phase 5: Webinar Engine & Education Funnel,28,"Support development of education-based trust-building funnel",Consulting Deliverable,"Content strategy and education funnel design is a consulting deliverable. The CRM's campaign and event modules provide the execution infrastructure.",CRM provides infrastructure; content strategy is consulting
Phase 5: Webinar Engine & Education Funnel,29,"Provide templates and handover instructions for future internal execution",Consulting Deliverable,"This is a consulting/documentation deliverable. The CRM has a Help Center page with guides.",To be delivered as training materials
Phase 6: SOPs Team Design & Execution Rhythm,30,"Recommend internal team structure for marketing and follow-up",Consulting + Built,"RBAC with 4-tier hierarchy: SYS_ADMIN > ADMIN > MANAGER > AGENT/COUNSELLOR. Department management with treatment and administrative departments. Branch-based access scoping. The specific team structure recommendation is a consulting deliverable.",Role and department structure built into CRM
Phase 6: SOPs Team Design & Execution Rhythm,31,"Draft SOPs for Lead Handling",Consulting + Built,"Lead lifecycle is codified in the CRM: status transitions, validation rules, SLA tracking, activity logging. The CRM IS the SOP - it enforces the process. Written SOP documentation is a consulting deliverable.",CRM enforces the lead handling process
Phase 6: SOPs Team Design & Execution Rhythm,32,"Draft SOPs for Referral Management",Consulting + Built,"Referral Management module with structured tracking: referrer registry, referral channels, outcome tracking, conversion metrics. Written SOP documentation is a consulting deliverable.",Referral process codified in CRM
Phase 6: SOPs Team Design & Execution Rhythm,33,"Draft SOPs for Campaign and Communication Processes",Consulting + Built,"Campaign module enforces naming conventions and structure. Communication Preferences enforce opt-in/opt-out compliance. Written SOPs are a consulting deliverable.",Campaign structure enforced by CRM
Phase 6: SOPs Team Design & Execution Rhythm,34,"Provide training decks, sample scripts, tracking sheets, review formats",Consulting Deliverable,"These are consulting/training deliverables. The CRM's Help Center provides basic guidance. The system itself replaces tracking sheets with live dashboards.",Training materials to be delivered separately
Phase 6: SOPs Team Design & Execution Rhythm,35,"Set up execution rhythm: daily morning huddles",Consulting + Built,"Dashboard provides real-time 'My Today''s Tasks' and 'My Overdue Tasks' cards for each user. Manager dashboard shows 'Team Overdue Tasks'. These serve as the data source for morning huddles.",Dashboard powers daily huddle data
Phase 6: SOPs Team Design & Execution Rhythm,36,"Set up execution rhythm: weekly progress reviews",Consulting + Built,"Manager and Admin dashboards provide weekly-relevant metrics: conversion funnels, pipeline value, team performance. Telephony Reports show call activity trends.",Dashboard provides weekly review data
Phase 6: SOPs Team Design & Execution Rhythm,37,"Set up execution rhythm: monthly strategic dashboard reviews",Consulting + Built,"Admin/SYS_ADMIN dashboards provide strategic metrics: total leads, pipeline value, realized revenue, conversion rates, source analysis, campaign ROI.",Dashboard provides monthly strategic data
Phase 6: SOPs Team Design & Execution Rhythm,38,"Enable task assignment and automated reminders (daily, weekly, monthly)",Fully Built,"Task management with assignment, delegation, due dates, priorities. Automated task creation via Nurture Engine, Post-Care Protocols, and Dormant Detection. SLA Rules and Reminder Policies configurable per tenant. Next Actions on both leads and episodes with delegation support.",Comprehensive task + reminder system
Phase 7: Dashboarding Reporting & Transition,39,"Build dashboards to track lead sources",Fully Built,"Lead Source breakdown on Admin and Manager dashboards. Agent dashboard shows 'My Lead Sources' with source-wise count. Campaign attribution via UTM tracking.",Source tracking across all dashboard tiers
Phase 7: Dashboarding Reporting & Transition,40,"Build dashboards to track funnel stages",Fully Built,"Conversion Funnel visualization on Agent and Counsellor dashboards. Unified Patient Journey Funnel on Lead Workspace. Kanban board shows leads by status stage.",Multi-view funnel tracking
Phase 7: Dashboarding Reporting & Transition,41,"Build dashboards to track referral usage",Fully Built,"Referral Management dashboard: Total Referrals, Converted, Pending, Conversion Rate, Top Referrers, Channel Breakdown. Referral stats API provides real-time analytics.",Dedicated referral analytics
Phase 7: Dashboarding Reporting & Transition,42,"Build dashboards to track campaign ROI",Fully Built,"Campaign module tracks budget per campaign. Meta Ads integration pulls impressions, clicks, spend, CPC, CTR. Lead attribution links campaigns to conversions and revenue.",Campaign spend to revenue tracking
Phase 7: Dashboarding Reporting & Transition,43,"Share weekly and monthly reporting formats",Consulting + Built,"Dashboards provide live data for all reporting needs. Export functionality available. Specific formatted report templates are a consulting deliverable.",Live dashboards replace static reports
Phase 7: Dashboarding Reporting & Transition,44,"Train internal users on interpretation and usage",Consulting Deliverable,"Help Center with guides available in-app. User training is a consulting deliverable to be conducted during implementation.",Training sessions to be scheduled
Phase 7: Dashboarding Reporting & Transition,45,"Prepare structured handover documentation",Consulting Deliverable,"System documentation maintained in-app. Formal handover documentation is a consulting deliverable.",To be prepared at engagement closure
Phase 7: Dashboarding Reporting & Transition,46,"Conduct final implementation check and transition closure meeting",Consulting Deliverable,"This is a consulting milestone. The CRM is production-ready and deployed.",Scheduled as part of engagement closure
Overall Objective,47,"Converts awareness into OPD and IPD consistently",Fully Built,"Complete lead-to-patient pipeline with automated nurture, appointment scheduling, check-in, consultation, and episode management.",End-to-end patient acquisition system
Overall Objective,48,"Connects digital marketing platforms with unified CRM and internal workflows",Fully Built,"Meta Ads, Google Forms, WhatsApp, Telephony, and SMTP connectors feed into single CRM with unified lead management.",Multi-platform integration hub
Overall Objective,49,"Leverages referrals, education, and after-care programs to build self-sustaining growth engine",Fully Built,"Referral Management module + Post-Care Protocols + Event Management (webinars/seminars) create a complete growth flywheel.",Growth engine components all built
Overall Objective,50,"Enables regional expansion through digitally supported Hub & Spoke model",Fully Built,"Multi-tenant architecture with branch-based access scoping, per-branch data isolation, and centralized admin control. Each branch/spoke can operate independently while headquarters maintains oversight.",Multi-tenant + branch architecture supports Hub & Spoke
Overall Objective,51,"Equips internal teams with clarity, tools, and discipline to operate independently",Fully Built,"Role-based dashboards, automated task assignment, SLA tracking, and structured workflows ensure teams can operate with minimal supervision.",Self-service operational tools
Overall Objective,52,"Reduces exposure to external platform disruptions",Fully Built,"Multi-source lead capture (Meta, Google, Walk-in, Referral, Events, Telephony, WhatsApp) means no single point of failure. CRM owns the data regardless of source platform.",Platform-agnostic data ownership
,,,,,
SUMMARY,,,,Count,
,,"Fully Built",,33,
,,"Consulting + Built (CRM supports it + consulting delivery needed)",,9,
,,"Partially Built (infrastructure ready, activation pending)",,4,
,,"Consulting Deliverable Only (not a software feature)",,7,
,,"Not Built",,1,
,,"TOTAL SCOPE ITEMS",,54,
